"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10846","Census Tract 3106.01, Middlesex County, Massachusetts",6409,4452,61711,3101,418,0,1528,0,16,45,1301,89643,69688,25,17,"310601",159331,0,23.8,20.3,6.5,48.4,0,0.7,0.2,26.8,"20-39%","$150-199k"
"10847","Census Tract 3121, Middlesex County, Massachusetts",2935,2027,37405,1325,66,0,521,0,85,85,853,46591,57875,25,17,"312100",104466,0,17.8,29.1,2.2,45.1,0,2.9,2.9,31.3,"20-39%","$100-149k"
"10848","Census Tract 3123, Middlesex County, Massachusetts",5060,3793,67439,3730,106,0,330,0,60,181,653,69260,83846,25,17,"312300",153106,0,6.5,12.9,2.1,73.7,0,3.6,1.2,15,"0-19%","$150-199k"
"10849","Census Tract 3141.01, Middlesex County, Massachusetts",6952,4664,93375,5603,275,12,300,54,0,213,495,74219,127353,25,17,"314101",201572,0.2,4.3,7.1,4,80.6,0.8,3.1,0,11.3,"0-19%","$200k+"
"10850","Census Tract 3142, Middlesex County, Massachusetts",5165,3559,74452,4145,348,0,238,0,0,19,415,94667,82969,25,17,"314200",177636,0,4.6,8,6.7,80.3,0,0.4,0,14.7,"0-19%","$150-199k"
"10851","Census Tract 3161.02, Middlesex County, Massachusetts",6789,4958,103902,6360,0,0,267,0,10,0,152,138750,121835,25,17,"316102",260585,0,3.9,2.2,0,93.7,0,0,0.1,2.2,"0-19%","$200k+"
"10852","Census Tract 3162.01, Middlesex County, Massachusetts",4291,3076,100750,4019,170,0,31,0,0,0,71,139531,105625,25,17,"316201",245156,0,0.7,1.7,4,93.7,0,0,0,5.7,"0-19%","$200k+"
"10853","Census Tract 3171.03, Middlesex County, Massachusetts",4963,3587,135202,4408,45,0,403,0,0,50,57,139766,159423,25,17,"317103",299189,0,8.1,1.1,0.9,88.8,0,1,0,2,"0-19%","$200k+"
"10854","Census Tract 3251, Middlesex County, Massachusetts",8014,5959,78762,6450,376,0,367,0,69,252,500,94429,96538,25,17,"325100",190967,0,4.6,6.2,4.7,80.5,0,3.1,0.9,10.9,"0-19%","$150-199k"
"10855","Census Tract 3399, Middlesex County, Massachusetts",5028,3846,66845,3513,520,0,697,0,11,176,111,68750,102321,25,17,"339900",171071,0,13.9,2.2,10.3,69.9,0,3.5,0.2,12.5,"0-19%","$150-199k"
"10856","Census Tract 3301, Middlesex County, Massachusetts",8792,6066,150848,8105,31,37,395,0,73,0,151,169063,175388,25,17,"330100",344451,0.4,4.5,1.7,0.4,92.2,0,0,0.8,2.5,"0-19%","$200k+"
"10857","Census Tract 3323, Middlesex County, Massachusetts",7048,5081,87378,4985,748,27,1036,0,0,180,72,102734,106838,25,17,"332300",209572,0.4,14.7,1,10.6,70.7,0,2.6,0,12,"0-19%","$200k+"
